Type,AIR,Category,Sub Category,Institute,Subject,Allotted Category,Allotted ph,Admitted Round
AIIMS  Seats,1,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,2,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,3,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,4,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,5,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,6,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,7,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,9,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,10,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,11,SC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,12,OBC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,13,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,14,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,15,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,16,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,17,EW,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,18,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,19,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,20,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,21,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,22,OBC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,23,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,24,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,25,OBC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,26,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,27,OBC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,28,EW,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,29,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,30,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,31,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,32,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,33,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,34,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,35,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,36,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,37,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,38,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,39,SC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,40,OBC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,41,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,42,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,44,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,45,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,46,OBC,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,47,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,48,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,49,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,50,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
